#auto.ord	auto.parent.ord	auto.deprel	gold.ord	gold.parent.ord	gold.deprel	parent_match	PreGenNmod
2	1	flat	2	1	flat	correct	
3	1	punct	3	1	punct	correct	
1	2	obl:arg	1	4	obj	wrong	
2	0	root	2	0	root	wrong	
3	2	obl:arg	3	2	obl:arg	correct	
4	2	obj	4	2	obj	correct	
5	4	amod	5	4	amod	correct	
6	14	punct	6	14	punct	correct	
7	14	mark	7	14	mark	correct	
8	10	case	8	10	case	correct	
9	10	amod	9	10	amod	correct	
10	14	obl	10	14	obl	correct	
11	13	mark	11	13	mark	correct	
12	13	amod	12	13	amod	correct	
13	14	advcl	13	14	advcl	correct	
14	2	conj	14	2	advcl	correct	
15	2	punct	15	2	punct	correct	
1	0	root	1	0	root	wrong	
2	1	flat	2	1	flat	correct	
3	1	punct	3	1	punct	correct	
1	2	cc	1	2	cc	correct	
2	0	root	2	10	orphan	wrong	
3	4	case	3	4	case	correct	
4	2	dep	4	2	obl	correct	
5	4	det	5	4	det	correct	
6	10	punct	6	2	punct	wrong	
7	10	nsubj	7	10	nsubj	correct	
8	9	case	8	9	case	correct	
9	10	obl	9	10	obl	correct	
10	2	orphan	10	0	root	wrong	
11	10	aux	11	10	aux	correct	
12	13	case	12	13	case	correct	
13	10	obl	13	10	obl	correct	
14	13	amod	14	13	amod	correct	
15	1	punct	15	10	punct	wrong	
1	2	cc	1	11	mark	wrong	
2	11	dep	2	11	dep	correct	
3	5	punct	3	5	punct	correct	
4	5	obl:arg	4	5	obl:arg	correct	
5	2	conj	5	2	parataxis	correct	
6	5	punct	6	5	punct	correct	
7	9	advmod:emph	7	11	advmod:emph	wrong	
8	9	amod	8	9	amod	correct	
9	11	obl:arg	9	11	obl:arg	correct	
10	11	cop	10	11	cop	correct	
11	0	root	11	16	advmod	wrong	
12	16	punct	12	11	punct	wrong	
13	16	nsubj	13	16	nsubj	correct	
14	13	punct	14	15	punct	wrong	
15	13	nmod	15	16	aux	wrong	
16	11	conj	16	0	root	wrong	
17	16	advmod	17	16	advmod	correct	
18	16	obj	18	16	obj	correct	
19	18	amod	19	18	amod	correct	
20	24	punct	20	24	punct	correct	
21	24	nsubj	21	24	nsubj	correct	
22	21	punct	22	23	punct	wrong	
23	21	nmod	23	24	aux	wrong	
24	11	conj	24	16	parataxis	wrong	
25	24	advmod	25	24	advmod	correct	
26	28	case	26	29	case	wrong	
27	28	amod	27	29	amod	wrong	
28	24	obl	28	29	nmod	wrong	1
29	28	nmod	29	24	obl	wrong	
30	32	punct	30	32	punct	correct	
31	32	case	31	32	case	correct	
32	28	conj	32	29	conj	wrong	
33	32	nmod	33	32	nmod	correct	
34	36	punct	34	36	punct	correct	
35	36	case	35	36	case	correct	
36	28	conj	36	29	conj	wrong	
37	38	amod	37	38	amod	correct	
38	36	nmod	38	36	nmod	correct	
39	11	punct	39	16	punct	wrong	
1	0	root	1	0	root	wrong	
2	1	flat	2	1	flat	correct	
3	1	punct	3	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	nmod	2	1	nmod	correct	
3	2	amod	3	2	amod	correct	
4	1	punct	4	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	flat:foreign	2	1	dep	correct	
3	1	punct	3	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	punct	2	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	punct	2	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	punct	2	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	obj	2	1	obj	correct	
3	4	amod	3	4	amod	correct	
4	1	nsubj	4	1	nsubj	correct	
5	6	case	5	6	case	correct	
6	4	nmod	6	1	nmod	wrong	
7	10	punct	7	10	punct	correct	
8	9	case	8	9	case	correct	
9	10	obl:arg	9	10	obl:arg	correct	
10	6	acl:relcl	10	6	acl:relcl	correct	
11	10	expl:pv	11	10	expl:pv	correct	
12	10	obl:arg	12	10	obl:arg	correct	
13	10	punct	13	10	punct	correct	
14	16	cc	14	16	cc	correct	
15	16	advmod	15	16	advmod	correct	
16	1	conj	16	1	conj	correct	
17	16	obl	17	16	obl	correct	
18	17	nmod	18	17	nmod	correct	
19	20	punct	19	20	punct	correct	
20	17	conj	20	17	conj	correct	
21	22	punct	21	22	punct	correct	
22	17	conj	22	20	conj	wrong	
23	1	punct	23	1	punct	correct	
1	0	root	1	0	root	wrong	
2	3	punct	2	3	punct	correct	
3	1	conj	3	1	conj	correct	
4	5	punct	4	5	punct	correct	
5	1	conj	5	1	conj	correct	
6	5	advmod	6	5	advmod	correct	
7	10	punct	7	10	punct	correct	
8	9	case	8	9	case	correct	
9	10	obl	9	10	obl	correct	
10	1	conj	10	1	conj	correct	
11	10	obl	11	10	obl	correct	
12	10	nsubj	12	10	nsubj	correct	
13	16	punct	13	16	punct	correct	
14	16	advmod	14	16	advmod	correct	
15	16	nsubj	15	16	nsubj	correct	
16	1	conj	16	1	parataxis	correct	
17	16	advmod	17	16	advmod	correct	
18	20	punct	18	20	punct	correct	
19	20	nummod	19	20	nummod	correct	
20	16	dep	20	16	parataxis	correct	
21	24	cc	21	22	cc	wrong	
22	24	nsubj	22	20	conj	wrong	
23	24	cop	23	20	cop	wrong	
24	16	conj	24	22	amod	wrong	
25	1	punct	25	1	punct	correct	
1	0	root	1	0	root	wrong	
2	3	punct	2	3	punct	correct	
3	1	conj	3	1	conj	correct	
4	11	punct	4	11	punct	correct	
5	11	advmod	5	11	advmod	correct	
6	11	obl:arg	6	11	nsubj	correct	
7	9	punct	7	9	punct	correct	
8	9	cc	8	9	cc	correct	
9	6	conj	9	6	conj	correct	
10	11	advmod	10	11	advmod	correct	
11	1	conj	11	1	conj	correct	
12	15	punct	12	15	punct	correct	
13	15	advmod	13	15	advmod	correct	
14	15	aux	14	15	aux	correct	
15	11	csubj	15	9	acl:relcl	wrong	
16	18	case	16	18	case	correct	
17	18	det	17	18	det	correct	
18	15	obl	18	15	obl	correct	
19	20	punct	19	20	punct	correct	
20	15	conj	20	15	conj	correct	
21	20	obj	21	20	obj	correct	
22	23	case	22	23	case	correct	
23	20	obl	23	20	obl	correct	
24	1	punct	24	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	advmod	2	1	advmod	correct	
3	4	det	3	4	det	correct	
4	1	nsubj	4	1	nsubj	correct	
5	9	case	5	9	case	correct	
6	9	amod	6	9	amod	correct	
7	8	cc	7	8	cc	correct	
8	6	conj	8	6	conj	correct	
9	1	obl	9	1	obl	correct	
10	13	punct	10	13	punct	correct	
11	13	mark	11	13	mark	correct	
12	13	advmod	12	13	advmod	correct	
13	1	advcl	13	1	advcl	correct	
14	13	obj	14	13	nsubj	correct	
15	17	cc	15	17	advmod:emph	correct	
16	17	amod	16	17	amod	correct	
17	14	conj	17	13	obj	wrong	
18	1	punct	18	1	punct	correct	
1	0	root	1	0	root	wrong	
2	3	punct	2	3	punct	correct	
3	1	conj	3	1	conj	correct	
4	1	punct	4	1	punct	correct	
5	1	punct	5	1	punct	correct	
6	1	punct	6	1	punct	correct	
1	3	case	1	3	case	correct	
2	3	amod	2	3	amod	correct	
3	6	obl	3	6	obl	correct	
4	6	nsubj	4	6	nsubj	correct	
5	6	expl:pv	5	6	expl:pv	correct	
6	0	root	6	0	root	wrong	
7	8	case	7	8	case	correct	
8	6	obl	8	6	obl	correct	
9	12	punct	9	12	punct	correct	
10	12	advmod	10	12	advmod	correct	
11	12	obj	11	12	obj	correct	
12	6	conj	12	6	parataxis	correct	
13	19	punct	13	19	punct	correct	
14	15	case	14	15	case	correct	
15	19	obl	15	19	obl	correct	
16	19	nsubj	16	19	nsubj	correct	
17	18	case	17	18	case	correct	
18	19	obl	18	19	obl	correct	
19	6	conj	19	6	conj	correct	
20	19	obl	20	19	obl	correct	
21	6	punct	21	6	punct	correct	
1	0	root	1	0	root	wrong	
2	1	punct	2	1	punct	correct	
1	3	nsubj	1	3	nsubj	correct	
2	1	amod	2	1	amod	correct	
3	0	root	3	0	root	wrong	
4	5	punct	4	5	punct	correct	
5	3	conj	5	3	parataxis	correct	
6	5	cop	6	5	cop	correct	
7	10	punct	7	10	punct	correct	
8	10	nsubj	8	10	nsubj	correct	
9	10	obl	9	10	obl	correct	
10	5	acl:relcl	10	5	acl:relcl	correct	
11	14	punct	11	14	punct	correct	
12	14	advmod	12	14	advmod	correct	
13	14	cop	13	14	cop	correct	
14	10	conj	14	5	parataxis	wrong	
15	18	punct	15	18	punct	correct	
16	18	advmod	16	18	advmod	correct	
17	18	cop	17	18	cop	correct	
18	14	conj	18	14	conj	correct	
19	22	punct	19	22	punct	correct	
20	22	advmod	20	22	advmod	correct	
21	22	cop	21	22	cop	correct	
22	14	conj	22	14	conj	correct	
23	25	punct	23	25	punct	correct	
24	25	amod	24	25	amod	correct	
25	22	appos	25	22	conj	correct	
26	3	punct	26	3	punct	correct	
1	6	cc	1	6	advmod:emph	correct	
2	6	advmod	2	6	advmod	correct	
3	6	advmod	3	6	advmod	correct	
4	6	nsubj	4	6	nsubj	correct	
5	6	expl:pv	5	6	expl:pv	correct	
6	0	root	6	0	root	wrong	
7	11	punct	7	11	punct	correct	
8	9	amod	8	9	amod	correct	
9	11	nsubj	9	11	nsubj	correct	
10	11	expl:pv	10	11	expl:pv	correct	
11	6	conj	11	6	conj	correct	
12	13	case	12	13	case	correct	
13	11	obl	13	11	obl	correct	
14	18	punct	14	18	punct	correct	
15	18	cc	15	18	cc	correct	
16	18	xcomp	16	18	nsubj:pass	correct	
17	18	obl:arg	17	18	obl:arg	correct	
18	11	conj	18	11	conj	correct	
19	6	punct	19	6	punct	correct	
1	2	nsubj	1	2	nsubj	correct	
2	0	root	2	0	root	wrong	
3	7	punct	3	7	punct	correct	
4	7	nsubj	4	7	nsubj	correct	
5	6	amod	5	6	amod	correct	
6	4	nmod	6	4	nmod	correct	
7	2	conj	7	2	conj	correct	
8	9	case	8	9	case	correct	
9	7	obl	9	7	obl	correct	
10	2	punct	10	2	punct	correct	
1	2	amod	1	2	amod	correct	
2	4	nsubj	2	4	nsubj	correct	
3	2	flat	3	2	flat	correct	
4	0	root	4	0	root	wrong	
5	7	case	5	7	case	correct	
6	7	amod	6	7	amod	correct	
7	4	obl	7	4	obl	correct	
8	7	det	8	7	det	correct	
9	10	punct	9	10	punct	correct	
10	4	parataxis	10	4	xcomp	correct	
11	17	punct	11	17	punct	correct	
12	17	mark	12	17	mark	correct	
13	17	obl	13	17	obl	correct	
14	15	punct	14	15	punct	correct	
15	13	conj	15	13	conj	correct	
16	17	obj	16	17	obj	correct	
17	10	ccomp	17	10	ccomp	correct	
18	17	punct	18	17	punct	correct	
19	20	cc	19	20	cc	correct	
20	4	conj	20	4	conj	correct	
21	20	expl:pv	21	20	expl:pv	correct	
22	20	xcomp	22	20	xcomp	correct	
23	25	advmod:emph	23	25	advmod:emph	correct	
24	25	case	24	25	case	correct	
25	22	obl	25	22	obl	correct	
26	25	det	26	25	det	correct	
27	4	punct	27	4	punct	correct	
1	6	cc	1	6	advmod:emph	correct	
2	6	obl	2	6	obl	correct	
3	6	advmod	3	6	advmod	correct	
4	6	obl:arg	4	6	obl:arg	correct	
5	6	case	5	6	advmod	correct	
6	0	root	6	0	root	wrong	
7	6	punct	7	6	punct	correct	
1	2	nsubj	1	2	nsubj	correct	
2	0	root	2	0	root	wrong	
3	4	case	3	4	case	correct	
4	2	obl	4	2	obl	correct	
5	2	obj	5	2	obj	correct	
6	7	cc	6	7	cc	correct	
7	2	conj	7	2	conj	correct	
8	2	punct	8	2	punct	correct	
1	4	cc	1	4	advmod:emph	correct	
2	4	nsubj	2	4	nsubj	correct	
3	4	expl:pv	3	4	expl:pv	correct	
4	0	root	4	0	root	wrong	
5	6	case	5	6	case	correct	
6	4	obl:arg	6	4	obl:arg	correct	
7	4	punct	7	4	punct	correct	
1	0	root	1	0	root	wrong	
2	1	xcomp	2	1	xcomp	correct	
3	5	case	3	5	case	correct	
4	5	amod	4	5	amod	correct	
5	2	obl	5	2	obl	correct	
6	7	punct	6	7	punct	correct	
7	1	conj	7	1	parataxis	correct	
8	7	obj	8	7	obj	correct	
9	13	punct	9	13	punct	correct	
10	11	case	10	11	case	correct	
11	13	obl:arg	11	13	obl:arg	correct	
12	13	expl:pv	12	13	expl:pv	correct	
13	1	conj	13	1	parataxis	correct	
14	19	punct	14	19	punct	correct	
15	17	case	15	17	case	correct	
16	17	nummod	16	17	nummod	correct	
17	19	obl:arg	17	19	obl:arg	correct	
18	17	nmod	18	17	nmod	correct	
19	1	conj	19	1	conj	correct	
20	1	punct	20	1	punct	correct	
1	3	cc	1	3	advmod:emph	correct	
2	3	aux:pass	2	3	aux:pass	correct	
3	0	root	3	0	root	wrong	
4	3	punct	4	3	punct	correct	
1	2	case	1	2	case	correct	
2	3	obl	2	3	obl	correct	
3	0	root	3	0	root	wrong	
4	5	amod	4	5	amod	correct	
5	3	obj	5	3	obj	correct	
6	5	det	6	5	det	correct	
7	11	cc	7	11	cc	correct	
8	9	case	8	9	case	correct	
9	11	obl	9	11	obl	correct	
10	11	obj	10	11	obj	correct	
11	3	conj	11	3	conj	correct	
12	11	obl	12	11	obl	correct	
13	3	punct	13	3	punct	correct	
1	6	cc	1	6	advmod:emph	correct	
2	3	case	2	3	case	correct	
3	6	obl	3	6	obl	correct	
4	3	nmod	4	3	nmod	correct	
5	6	nsubj	5	6	nsubj	correct	
6	0	root	6	0	root	wrong	
7	9	case	7	9	case	correct	
8	9	amod	8	9	amod	correct	
9	6	obl	9	6	obl	correct	
10	6	punct	10	6	punct	correct	
1	2	advmod	1	2	advmod	correct	
2	0	root	2	0	root	wrong	
3	2	nsubj	3	2	nsubj	correct	
4	2	punct	4	2	punct	correct	
1	0	root	1	0	root	wrong	
2	1	advmod	2	1	nsubj	correct	
3	1	punct	3	1	punct	correct	
1	0	root	1	0	root	wrong	
2	1	advmod	3	1	advmod	correct	
3	5	cc	4	6	cc	correct	
4	5	case	5	6	case	correct	
5	2	conj	6	3	conj	correct	
6	1	punct	7	1	punct	correct	
			2	1	aux		
1	0	root	1	5	orphan	wrong	
2	3	case	2	3	case	correct	
3	1	dep	3	1	obl	correct	
4	1	dep	4	3	nmod	wrong	
5	1	dep	5	0	root	wrong	
6	1	punct	6	5	punct	wrong	
1	3	cc	1	3	advmod:emph	correct	
2	3	nsubj	2	3	nsubj	correct	
3	0	root	3	0	root	wrong	
4	3	advmod	4	3	advmod	correct	
5	6	case	5	6	case	correct	
6	3	obl	6	3	obl	correct	
7	10	cc	7	10	cc	correct	
8	9	case	8	9	case	correct	
9	10	obl	9	10	obl	correct	
10	3	conj	10	3	conj	correct	
11	3	punct	11	3	punct	correct	
1	0	root	1	4	advmod:emph	wrong	
2	3	punct	2	4	punct	wrong	
3	1	conj	3	4	advmod	wrong	
4	3	orphan	4	0	root	wrong	
5	1	punct	5	4	punct	wrong	
1	4	cc	1	4	advmod:emph	correct	
2	4	advmod	2	4	advmod	correct	
3	4	advmod	3	4	advmod	correct	
4	0	root	4	0	root	wrong	
5	4	obl	5	4	advmod	correct	
6	8	punct	6	8	punct	correct	
7	8	case	7	8	case	correct	
8	4	conj	8	4	orphan	correct	
9	8	nummod	9	8	nummod	correct	
10	8	orphan	10	13	advmod:emph	wrong	
11	8	orphan	11	13	advmod	wrong	
12	13	case	12	13	case	correct	
13	8	orphan	13	8	obl	correct	
14	8	punct	14	18	punct	wrong	
15	8	cc	15	18	advmod:emph	wrong	
16	8	orphan	16	18	advmod	wrong	
17	18	case	17	18	case	correct	
18	8	orphan	18	8	conj	correct	
19	29	punct	19	29	punct	correct	
20	29	nsubj	20	29	nsubj	correct	
21	23	case	21	23	case	correct	
22	23	amod	22	23	amod	correct	
23	29	obl	23	29	obl	correct	
24	25	case	24	25	case	correct	
25	29	obl:arg	25	28	obl:arg	wrong	
26	27	case	26	27	case	correct	
27	29	obl	27	29	obl	correct	
28	29	xcomp	28	29	xcomp	correct	
29	18	acl:relcl	29	18	acl:relcl	correct	
30	29	expl:pv	30	29	expl:pv	correct	
31	4	punct	31	4	punct	correct	
32	4	punct	32	4	punct	correct	
33	4	punct	33	4	punct	correct	
1	6	cc	1	6	advmod:emph	correct	
2	4	det:numgov	2	4	det:numgov	correct	
3	6	xcomp	3	6	xcomp	correct	
4	3	obj	4	3	obj	correct	
5	6	nsubj	5	6	nsubj	correct	
6	0	root	6	0	root	wrong	
7	6	punct	7	6	punct	correct	
1	0	root	1	0	root	wrong	
2	1	advmod	2	1	advmod	correct	
3	1	punct	3	1	punct	correct	
1	2	advmod	1	2	nsubj	correct	
2	0	root	2	0	root	wrong	
3	2	punct	3	2	punct	correct	
4	2	punct	4	2	punct	correct	
5	2	punct	5	2	punct	correct	
1	2	advmod	1	7	advcl	wrong	
2	0	root	2	1	fixed	wrong	
3	7	punct	3	1	punct	wrong	
4	7	advmod	4	7	advmod	correct	
5	7	nsubj	5	7	nsubj	correct	
6	7	advmod	6	7	advmod	correct	
7	2	conj	7	0	root	wrong	
8	9	case	8	7	obl	wrong	
9	7	obl	9	8	fixed	wrong	
10	12	cc	10	16	cc	wrong	
11	12	case	11	12	case	correct	
12	7	conj	12	16	nmod	wrong	
13	14	case	13	14	case	correct	
14	12	nmod	14	12	nmod	correct	
15	12	orphan	15	16	advmod	wrong	
16	12	orphan	16	7	conj	wrong	
17	2	punct	17	7	punct	wrong	
1	7	cc	1	7	advmod:emph	correct	
2	7	nsubj	2	7	nsubj	correct	
3	2	det	3	2	det	correct	
4	2	amod	4	2	amod	correct	
5	6	case	5	6	case	correct	
6	7	obl	6	7	obl	correct	
7	0	root	7	0	root	wrong	
8	10	cc	8	10	cc	correct	
9	10	nsubj	9	10	nsubj	correct	
10	7	conj	10	7	conj	correct	
11	12	case	11	12	case	correct	
12	10	obl	12	10	obl	correct	
13	10	obj	13	9	amod	wrong	
14	17	punct	14	17	punct	correct	
15	17	cc	15	17	cc	correct	
16	17	nsubj	16	17	nsubj	correct	
17	7	conj	17	7	conj	correct	
18	24	punct	18	24	punct	correct	
19	24	obj	19	24	obj	correct	
20	21	case	20	21	case	correct	
21	24	obl	21	19	appos	wrong	
22	24	nsubj	22	24	nsubj	correct	
23	24	advmod	23	24	advmod	correct	
24	17	ccomp	24	17	ccomp	correct	
25	27	cc	25	27	cc	correct	
26	27	det	26	27	det	correct	
27	24	conj	27	19	conj	wrong	
28	7	punct	28	7	punct	correct	
29	7	punct	29	7	punct	correct	
30	7	punct	30	7	punct	correct	
1	2	advmod	1	2	advmod	correct	
2	0	root	2	0	root	wrong	
3	2	expl:pv	3	2	expl:pv	correct	
4	2	punct	4	2	punct	correct	
1	0	root	1	0	root	wrong	
2	1	nsubj	2	1	obl:arg	correct	
3	4	case	3	4	case	correct	
4	1	obl:arg	4	1	obl:arg	correct	
5	6	advmod	5	6	advmod	correct	
6	1	advmod	6	1	advmod	correct	
7	9	punct	7	9	punct	correct	
8	9	advmod	8	9	advmod	correct	
9	6	conj	9	6	conj	correct	
10	11	cc	10	11	cc	correct	
11	6	conj	11	9	conj	wrong	
12	17	punct	12	17	punct	correct	
13	17	mark	13	17	mark	correct	
14	15	case	14	15	case	correct	
15	17	obl	15	17	obl	correct	
16	17	obl:arg	16	17	obl:arg	correct	
17	1	advcl	17	1	advcl	correct	
18	1	punct	18	1	punct	correct	
1	6	nsubj	1	5	nsubj	wrong	
2	6	advmod	2	5	advmod	wrong	
3	6	obl:arg	3	5	obl:arg	wrong	
4	6	obj	4	5	obj	wrong	
5	6	xcomp	5	6	xcomp	correct	
6	0	root	6	0	root	wrong	
7	8	case	7	8	case	correct	
8	6	obl	8	6	obl	correct	
9	11	punct	9	11	punct	correct	
10	11	nsubj	10	11	nsubj	correct	
11	6	conj	11	6	parataxis	correct	
12	11	obl	12	11	obl	correct	
13	15	punct	13	11	punct	wrong	
14	15	aux:pass	14	15	aux:pass	correct	
15	6	conj	15	6	parataxis	correct	
16	6	punct	16	6	punct	correct	
1	3	cop	1	3	cop	correct	
2	3	cc	2	3	advmod:emph	correct	
3	0	root	3	0	root	wrong	
4	5	punct	4	5	punct	correct	
5	3	csubj	5	3	csubj	correct	
6	5	obj	6	5	obj	correct	
7	6	det	7	6	det	correct	
8	21	punct	8	21	punct	correct	
9	21	advmod	9	21	advmod	correct	
10	11	case	10	11	case	correct	
11	21	obl	11	21	obl	correct	
12	14	punct	12	14	punct	correct	
13	14	case	13	14	case	correct	
14	11	appos	14	11	appos	correct	
15	14	amod	15	14	amod	correct	
16	17	det	16	17	det	correct	
17	20	obj	17	20	obj	correct	
18	20	obl:arg	18	20	obl:arg	correct	
19	20	advmod	19	20	advmod	correct	
20	21	xcomp	20	21	xcomp	correct	
21	3	conj	21	3	parataxis	correct	
22	3	punct	22	3	punct	correct	
1	3	cc	1	3	advmod:emph	correct	
2	3	nsubj	2	3	nsubj	correct	
3	0	root	3	0	root	wrong	
4	9	punct	4	9	punct	correct	
5	9	mark	5	9	mark	correct	
6	9	aux	6	9	aux	correct	
7	9	nsubj	7	9	nsubj	correct	
8	9	advmod	8	9	advmod:emph	correct	
9	3	ccomp	9	3	ccomp	correct	
10	13	amod	10	13	amod	correct	
11	12	obl	11	12	obl	correct	
12	9	xcomp	12	9	xcomp	correct	
13	12	obj	13	12	obj	correct	
14	15	cc	14	15	cc	correct	
15	13	conj	15	13	conj	correct	
16	17	case	16	17	case	correct	
17	15	nmod	17	15	nmod	correct	
18	23	punct	18	23	punct	correct	
19	20	case	19	20	case	correct	
20	26	obl:arg	20	23	obl	wrong	
21	22	amod	21	22	amod	correct	
22	20	nmod	22	20	nmod	correct	
23	9	conj	23	9	parataxis	correct	
24	23	advmod	24	23	advmod	correct	
25	26	obl:arg	25	26	obl:arg	correct	
26	23	xcomp	26	23	xcomp	correct	
27	28	case	27	28	case	correct	
28	26	obl	28	26	obl	correct	
29	3	punct	29	3	punct	correct	
1	2	det	1	2	det	correct	
2	3	nsubj	2	3	nsubj	correct	
3	0	root	3	0	root	wrong	
4	9	punct	4	9	punct	correct	
5	9	advmod	5	9	advmod	correct	
6	7	case	6	7	case	correct	
7	9	obl	7	9	obl	correct	
8	9	aux	8	9	aux	correct	
9	3	conj	9	3	conj	correct	
10	9	cc	10	9	cc	correct	
11	14	punct	11	14	punct	correct	
12	14	mark	12	14	mark	correct	
13	14	nsubj	13	14	xcomp	correct	
14	9	ccomp	14	9	ccomp	correct	
15	16	case	15	16	case	correct	
16	14	obl	16	13	obl	wrong	
17	21	punct	17	21	punct	correct	
18	21	mark	18	21	mark	correct	
19	21	nsubj	19	21	nsubj	correct	
20	19	det	20	19	det	correct	
21	14	conj	21	14	conj	correct	
22	24	case	22	24	case	correct	
23	24	det	23	24	det	correct	
24	21	obl	24	21	obl	correct	
25	26	cc	25	26	cc	correct	
26	14	conj	26	14	conj	correct	
27	32	punct	27	32	punct	correct	
28	32	mark	28	32	mark	correct	
29	32	advmod	29	32	advmod	correct	
30	32	obj	30	32	obj	correct	
31	32	nsubj	31	32	nsubj	correct	
32	26	ccomp	32	26	ccomp	correct	
33	36	punct	33	36	punct	correct	
34	36	cc	34	36	cc	correct	
35	36	punct	35	36	punct	correct	
36	3	conj	36	32	conj	wrong	
37	36	expl:pv	37	36	expl:pv	correct	
38	43	punct	38	43	punct	correct	
39	43	mark	39	43	mark	correct	
40	41	det	40	41	det	correct	
41	43	obl	41	43	obl	correct	
42	43	advmod	42	43	advmod	correct	
43	36	csubj	43	36	csubj	correct	
44	46	case	44	46	case	correct	
45	46	det	45	46	det	correct	
46	43	obl	46	43	obl:arg	correct	
47	52	punct	47	52	punct	correct	
48	52	nsubj	48	52	nsubj	correct	
49	50	case	49	50	case	correct	
50	52	obl:arg	50	52	obl:arg	correct	
51	52	expl:pv	51	52	expl:pv	correct	
52	46	acl:relcl	52	46	acl:relcl	correct	
53	61	punct	53	61	punct	correct	
54	61	cc	54	61	cc	correct	
55	57	punct	55	57	punct	correct	
56	57	advmod	56	57	advmod	correct	
57	61	parataxis	57	61	parataxis	correct	
58	57	nsubj	58	57	nsubj	correct	
59	57	punct	59	57	punct	correct	
60	61	punct	60	61	punct	correct	
61	43	conj	61	52	conj	wrong	
62	61	obl	62	61	obl:arg	correct	
63	67	punct	63	67	punct	correct	
64	67	obj	64	67	obj	correct	
65	67	nsubj	65	67	nsubj	correct	
66	65	nmod	66	65	nmod	correct	
67	62	acl:relcl	67	62	acl:relcl	correct	
68	69	case	68	69	case	correct	
69	67	obl	69	67	obl	correct	
70	61	punct	70	67	punct	wrong	
71	76	punct	71	61	punct	wrong	
72	76	obl	72	76	obl	correct	
73	76	nsubj	73	76	nsubj	correct	
74	76	advmod	74	76	advmod	correct	
75	76	obj	75	76	obj	correct	
76	61	conj	76	61	appos	correct	
77	78	cc	77	78	cc	correct	
78	76	conj	78	75	conj	wrong	
79	80	cc	79	80	cc	correct	
80	78	conj	80	78	conj	correct	
81	85	cc	81	85	cc	correct	
82	85	advmod	82	85	advmod	correct	
83	85	nsubj	83	84	amod	wrong	
84	85	nsubj	84	85	nsubj	correct	
85	76	conj	85	75	appos	wrong	
86	85	expl:pv	86	85	expl:pv	correct	
87	89	punct	87	89	punct	correct	
88	89	cc	88	89	cc	correct	
89	76	conj	89	76	conj	correct	
90	94	punct	90	94	punct	correct	
91	94	mark	91	94	mark	correct	
92	94	nsubj	92	94	nsubj	correct	
93	94	obl	93	94	obl	correct	
94	89	ccomp	94	89	ccomp	correct	
95	94	advmod	95	94	advmod	correct	
96	100	punct	96	100	punct	correct	
97	98	advmod:emph	97	98	advmod:emph	correct	
98	100	nsubj	98	100	nsubj	correct	
99	100	advmod	99	100	advmod	correct	
100	94	conj	100	94	conj	correct	
101	103	punct	101	103	punct	correct	
102	103	nsubj	102	103	nsubj	correct	
103	100	ccomp	103	100	parataxis	correct	
104	103	punct	104	103	punct	correct	
105	107	advmod	105	107	advmod	correct	
106	107	advmod	106	107	advmod	correct	
107	100	xcomp	107	100	parataxis	correct	
108	107	advmod	108	107	advmod	correct	
109	110	det	109	110	det	correct	
110	107	obj	110	107	obj	correct	
111	3	punct	111	3	punct	correct	
1	2	nsubj	1	2	nsubj	correct	
2	0	root	2	0	root	wrong	
3	9	punct	3	9	punct	correct	
4	9	mark	4	9	mark	correct	
5	9	nsubj	5	9	nsubj	correct	
6	8	case	6	7	case	wrong	
7	9	obl:arg	7	9	obl:arg	correct	
8	9	obl	8	9	obl	correct	
9	2	ccomp	9	2	ccomp	correct	
10	13	punct	10	13	punct	correct	
11	13	cop	11	13	cop	correct	
12	13	cc	12	13	cc	correct	
13	9	conj	13	2	conj	wrong	
14	15	cc	14	15	cc	correct	
15	13	conj	15	13	conj	correct	
16	13	det	16	13	det	correct	
17	20	cc	17	20	cc	correct	
18	20	nsubj	18	20	nsubj	correct	
19	20	advmod	19	20	advmod	correct	
20	2	conj	20	2	conj	correct	
21	2	punct	21	2	punct	correct	
22	2	punct	22	2	punct	correct	
23	2	punct	23	2	punct	correct	
1	11	vocative	1	11	vocative	correct	
2	1	amod	2	1	amod	correct	
3	1	amod	3	1	amod	correct	
4	11	punct	4	11	punct	correct	
5	11	advmod	5	11	advmod	correct	
6	7	case	6	7	case	correct	
7	11	obl	7	11	obl	correct	
8	9	det	8	9	det	correct	
9	11	nsubj	9	11	nsubj	correct	
10	9	amod	10	9	amod	correct	
11	0	root	11	0	root	wrong	
12	11	advmod	12	11	advmod	correct	
13	11	punct	13	11	punct	correct	
1	2	amod	1	3	amod	wrong	
2	3	nmod	2	3	nmod	correct	1
3	6	vocative	3	10	vocative	wrong	
4	6	punct	4	6	punct	correct	
5	6	det	5	6	det	correct	
6	0	root	6	10	nsubj:pass	wrong	
7	6	det	7	6	det	correct	
8	6	cop	8	10	cop	wrong	
